"","tweets.text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","score"
"55","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"56","Here is a full podcast breakdown of the Game of Thrones Season  premiere Winterfell ",0,0,0,0,0,0,0,0,-0.15
"57","The whole Daenerys goes mad still doesnt make sense when Cersei already is the mad queen Jaime killed Danys da ",1,0,1,1,0,1,0,0,-1.25
"58","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"59","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"60","RT The Advisor from Naath  La Consejera de NaathHere I leave a pencil portrait I did some time ago in order to re",0,1,0,0,0,1,1,0,-0.25
"61","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"62","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"63","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"64","RT best scene ever ",0,0,0,0,0,0,0,0,0.5
"65","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"66","Palavra de Three Eyed Raven ",0,0,0,0,0,0,0,0,0
"67","RT best behindthescenes photos taken by the cast",0,0,0,0,0,0,0,0,0.5
"68","Spectacle instead of story What has become in the later seasons is a succession of spectacle coveri ",0,0,0,0,0,0,0,0,0.4
"69","Trying not to think about episode  in two days   Houston Heights Texas ",0,0,0,0,0,0,0,0,0
"70","RT Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"71","RT Regarding coffee cup on Dont throw any Art Directors under the bus It aint them x",0,1,0,0,1,1,1,0,0.6
"72","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"73","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"74","RT Now we will win the Last WarThe final season of airs Sundays on ",0,0,1,0,0,0,0,0,0.5
"75","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"76","RT Damn  ",1,0,1,0,0,0,0,0,-0.75
"77","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"78","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"79","Happy now ",0,1,0,0,1,0,0,1,0.75
"80","One John killed for his dog and the other Jon left his dog without petting No wonder he knows nothing ",0,0,1,0,0,0,0,0,-0.5
"81","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"82","RT Hand sanitizers                  germs ",0,0,0,0,0,0,0,0,0
"83","RT Jon whats wrong Dany nothing Jon okayDANY I JUST THINK ITS SO FUNNY HOW ALL THE SUDDEN YOU ARE THE RIGHTFUL H",0,0,0,0,0,0,1,0,0.8
"84","RT RT amp follow for a chance to WIN a Daenerys Targaryen on Iron Throne Pop ",0,0,0,0,0,0,2,2,1.35
"85","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"86","RT Kings Landing in  vs Kings Landing in   Climate Change is real ",0,0,0,1,0,0,0,1,0.25
"87","Funko Pop Game of Thrones Arya Stark ECCC  Exclusive Protector ",0,0,0,0,0,0,1,2,0.3
"88","RT Kit Harington when asked to describe the S finale in one word ",0,0,0,0,0,0,0,1,0
"89","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"90","RT Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"91","Liam Cunninghams interview was one of the best in its duration of the show So I made a funny meme ",0,0,0,0,0,0,0,1,1.3
"92","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"93","RT Damn  ",1,0,1,0,0,0,0,0,-0.75
"94","RT A chance to say goodbye ",0,0,0,0,0,0,1,0,0.25
"95","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"96","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"97","RT Two types of men after sex  ",0,1,0,0,1,0,0,1,0.1
"98","RT Rape is not a tool to make a character stronger A woman doesnt need to be victimized in order to become a butterfly Th",2,0,2,2,0,2,1,0,-1.25
"99","Every painting is a selfportrait and the writers are telling us a lot about themselves From rank misogyny and ra ",0,0,0,0,0,0,0,0,0
"100","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"101","RT WINTER IS HEREOn this weeks episode were talkingetiquette Reviewing Episode ",0,0,0,0,0,0,0,0,0
"102","UNPREPARED AND SHOCKED SHES THE ONE UNDRESSING HERSELF AND JAIME IF SHE DIDNT WANT TO DO ANYTHING SHE WOULD K ",0,0,0,0,0,0,0,0,-1.25
"103","RT best behindthescenes photos taken by the cast",0,0,0,0,0,0,0,0,0.5
"104","Did you spot that coffee cup lurking in the background of ",0,0,0,0,0,0,0,0,-1
"105","RT GAME OF THRONES  the rules of beards  Bearded characters GAME OF THRONES ",0,0,0,0,0,0,0,0,0
"106","RT The Last of the Starks is second lowest rated episode of everNo matter the scores of the final two",0,0,0,0,0,1,0,0,-0.5
"107","Game of Thrones SE A Knight of the Seven Kingdom asks How would you spend your last night on earth Here is o ",0,0,0,0,0,0,0,0,0.6
"108","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"109","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"110","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"111","RT RT amp follow for a chance to WIN a Daenerys Targaryen on Iron Throne Pop ",0,0,0,0,0,0,2,2,1.35
"112","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"113","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"114","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"115"," The Hound being The Hound ",0,0,0,0,0,0,0,0,0
"116","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"117","RT RT amp follow for a chance to WIN a Daenerys Targaryen on Iron Throne Pop ",0,0,0,0,0,0,2,2,1.35
"118","RT One of my favorite things about is that how villains change over the years  ",0,0,0,1,1,0,0,1,-0.25
"119","gameofthrones emiliaclarke ",0,0,0,0,0,0,0,0,0
"120","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"121","RT Avengers Endgame  FULL MOVIE HQ To Watch After the devastating events of Avengers Inf",1,1,1,2,0,1,0,1,-0.75
"122","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"123","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"124","GIVEAWAYFree Wig for Mother of Dragons ",0,1,0,0,1,1,0,1,0
"125","RT Infosec should be nonpartisan about hacktivisim Claims of anonymous Russian hackers evolved wamp ",0,0,0,0,0,0,0,0,0
"126","RT SE spoilers without context  ",0,0,0,0,0,0,0,0,0
"127","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"128","RT RT amp follow for a chance to WIN a Night King on Iron Throne Pop ",0,0,0,0,0,0,2,2,1.45
"129","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"130","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"131","Gorgeous dog Beautiful eyes",0,0,0,0,2,0,0,0,1.25
"132","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"133","RT RT amp follow for a chance to WIN a Night King on Iron Throne Pop ",0,0,0,0,0,0,2,2,1.45
"134","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"135","RT Give us this spinoff  ",0,0,0,0,0,0,0,0,0
"136","RT Only two episodes leftThe final season of airs Sundays on ",0,0,1,0,0,0,0,0,0
"137","RT What did Euron just see The penultimate episode of is nearly here ",0,0,0,0,0,0,0,0,0
"138","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"139","RT Give us this spinoff  ",0,0,0,0,0,0,0,0,0
"140","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"141","RT Behind the scenes of S E Credit ",0,0,0,0,0,0,0,1,0.4
"142","RT Yall need to stop  ",0,0,0,0,0,0,0,0,-0.4
"143","RT For seven and a half seasons has told viewers Daenerys Targaryen is a ruler capable of compromise a monarch",0,0,0,0,0,0,0,0,0.5
"144","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"145","RT best scene ever ",0,0,0,0,0,0,0,0,0.5
"146","RT Rape is not a tool to make a character stronger A woman doesnt need to be victimized in order to become a butterfly Th",2,0,2,2,0,2,1,0,-1.25
"147","Watched several episodes of while getting my hair done Surprised myself by kinda getting into it ",0,0,0,0,0,0,1,0,0
"148","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"149","RT GAME OF THRONES  Cinematography by Robert McLachlanDirected by Matt ShakmanFrom the episode EastwatchExplo",0,0,0,0,0,0,0,0,0
"150","RT When your fear of losing control is so acute that the voice actors have no idea what theyre talking about  then you ruin",2,0,0,2,0,2,0,0,-2.5
"151","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"152","RT Great Show Tonight Emma Thompson is here and we get to the bottom of the Starbucks cup with Plu",0,0,0,0,0,1,0,1,0.5
"153","If you have to turn your characters into fools in order for your plot to make sense one should seriously consider ",0,0,0,0,0,0,0,0,-0.5
"154","RT Rape is not a tool to make a character stronger A woman doesnt need to be victimized in order to become a butterfly Th",2,0,2,2,0,2,1,0,-1.25
"155","RT Human Drinks alcoholLiver breaks down and removes toxic substances in alcoholHuman Drinks more alcoholLiver",0,0,1,0,0,0,0,0,-0.9
"156","RT Give us this spinoff  ",0,0,0,0,0,0,0,0,0
"157","Avengers Endgame  FULL MOVIE HQ To Watch After the devastating events of Avengers ",1,1,1,2,0,1,0,1,-0.75
"158","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"159","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"160","RT OMGthought he was joking ",0,0,0,0,0,0,0,0,0.6
"161","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"162","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"163","Bad writing is being used as a blanket term for fans to validate their disagreements with the current course of ",1,0,1,1,0,1,0,1,0.65
"164","This is exactly what the creators of LOST did too ",0,0,0,0,0,1,0,0,-0.75
"165","RT best behindthescenes photos taken by the cast",0,0,0,0,0,0,0,0,0.5
"166","RT The Last of the Starks is second lowest rated episode of everNo matter the scores of the final two",0,0,0,0,0,1,0,0,-0.5
"167","When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"168","RT When I was watching and saw fight I said thats Filipino Martial Arts So I called HBO an",2,0,0,1,0,0,0,0,-0.9
"169","Here is early access to the brand new See reviews about and the new ",0,0,0,0,0,0,0,0,0.8
"170","RT One of my favorite things about is how the villains change over the years ",0,0,0,1,1,0,0,1,-0.25
"171","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"172","RT Oh no subreddit is imploding and these thoughts do make sense ",0,0,0,0,0,0,0,0,0
"173","RT I dont care what anyone says Im on side for this  fuck everyone doesnt matter what she does next episode I supp",0,0,0,0,0,0,0,0,0
"174","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"175","RT HIMYM we managed to produce the worst finale everhold my beer",0,0,0,0,1,0,0,0,-0.5
"176","RT plot twist ",0,0,0,0,0,0,0,0,0
"177","RT sansa resurrecting theon so she can tell him that jon is a targaryen",0,0,0,0,0,0,0,0,0
"178","RT This is how i trust meRetweet n let the voice heard",0,0,0,0,0,0,0,1,0.5
"179","RT Plot leak for the finale ",0,0,0,0,0,0,0,0,-0.75
"180","RT The mystery of the Starbucks cup finally revealed  rFreefolk ",0,2,1,0,1,0,2,1,0
"181","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"182","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"183","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"184","RT Fixed it  ",0,0,0,0,0,0,0,1,0
"185","RT When I was watching and saw fight I said thats Filipino Martial Arts So I called HBO an",2,0,0,1,0,0,0,0,-0.9
"186","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"187","Now that is finally over I can focus solely on how terrible has been this season",1,1,2,1,1,1,1,1,0.25
"188","RT The mystery of the Starbucks cup finally revealed  rFreefolk ",0,2,1,0,1,0,2,1,0
"189","RT Been thinking about in wake of upcoming finale of how book franchises with really deepdiving hardcore",0,0,0,0,0,0,0,0,0.4
"190","RT Just a reminder that none of the characters in has ever been to the dentist used deodorant or had a b",0,0,0,0,0,0,0,0,0
"191","RT another glaring editing mistake ",1,0,0,0,0,1,0,0,-1.55
"192","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"193","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"194","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"195","Final episode prediction halfway through the episode with all major plotlines resolved they fade ",0,1,0,0,0,0,0,0,0.4
"196","RT the most iconic duo forever and ever ",0,0,0,0,0,0,0,0,0
"197","RT Give us this spinoff  ",0,0,0,0,0,0,0,0,0
"198","Now that join us in taking the Jobvite Inc is looking for Marketing Programs Manager ",0,0,0,0,0,0,0,0,0.25
"199","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"200"," Hulu accounts available paid for and everything dm me ",0,0,0,0,0,0,0,1,0.8
"201","Same here ",0,0,0,0,0,0,0,0,0
"202","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"203","should have stayed with the  episode format",0,0,0,0,0,0,0,0,0
"204","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"205","RT Poor Dany the Strk are a bunch of ungrateful idiots ",1,0,1,0,0,0,0,0,-1.5
"206","RT Meet this weeks and superfan Read about her ",0,0,0,0,0,0,0,0,0
"207","RT Have added a bunch of goodies to my Storenvy  Theyre on the preorder I",0,0,0,0,0,0,0,0,0
"208","RT Miss this year You can relive the magic with the first of the Thursday programming SO FAR f",0,0,0,0,0,0,0,0,0.25
"209","RT With more fighting on the horizon Im still wondering why Cersei didnt end the big conflict at the center of ",2,1,0,1,0,1,0,1,-1.05
"210","Game of Thrones The Long Night may be dark but its also brilliant storytelling Here is our podcast breakdown ",0,2,0,0,1,1,0,1,-0.35
"211","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"212","RT If you were upset by the continuity mistake on I spotted one more ",1,0,0,0,0,2,0,0,-1.1
"213","Ive watched the ending of episode  of GOT a good  times and it never gets old This might be the greatest TV S ",0,1,0,0,1,0,1,1,1.25
"214","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"215","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"216","RT Exclusive new footage leaks from SE of ",0,0,0,0,0,0,0,0,0.3
"217","RT clears throat Daenarys isnt mad shes angry",2,0,2,1,0,1,0,0,-1
"218","Meet this weeks and superfan Read about ",0,0,0,0,0,0,0,0,0
"219","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"220","RT Only two episodes to go Not long now until Episode  of with Emilia Clarke as ",0,1,0,0,0,0,0,0,0
"221","My recap of Game of Thrones when the dragons werent eating their farm animals Excuse the audio malfunctions full ",0,1,0,0,0,0,0,0,-0.75
"222","RT Scrolling through the tl and mistakenly reading spoilers of ",0,0,0,0,0,0,0,0,-0.7
"223","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"224","RT finale a week before our graduation day and Im totally sappy for both events  ",0,1,0,1,1,0,1,2,0.5
"225","RT Great Show Tonight Emma Thompson is here and we get to the bottom of the Starbucks cup with Plu",0,0,0,0,0,1,0,1,0.5
"226","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"227","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"228","Game of Thrones star Maisie Williams officially launches social app Daisie ",0,1,0,0,1,0,0,1,0.6
"229","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"230","RT best scene ever ",0,0,0,0,0,0,0,0,0.5
"231","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"232","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"233","RT GAME OF THRONES  Cinematography by Robert McLachlanDirected by Matt ShakmanFrom the episode EastwatchExplo",0,0,0,0,0,0,0,0,0
"234","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"235","holy shit well is definitely getting first priority here but all of these games are about to be l ",1,0,1,0,0,0,0,0,0.9
"236","RT Great Show Tonight Emma Thompson is here and we get to the bottom of the Starbucks cup with Plu",0,0,0,0,0,1,0,1,0.5
"237","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"238","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"239","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"240","RT best scene ever ",0,0,0,0,0,0,0,0,0.5
"241","Tag Them",0,0,0,0,0,0,0,0,0
"242","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"243","RT Kit Harington when asked to describe the S finale in one word ",0,0,0,0,0,0,0,1,0
"244"," more days before episode  Whats gonna happen to ",0,1,0,0,0,0,0,0,0
"245","RT Its the Hound and Arya Show in Imagined Sitcom Spinoff Trailer ",0,0,0,0,0,0,0,1,0
"246","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"247","lt I am not a little bird anymore gt",0,0,0,0,0,0,0,0,0
"248","RT Exclusive new footage leaks from SE of ",0,0,0,0,0,0,0,0,0.3
"249","RT it hurts right in my woof woof",0,0,0,0,0,0,0,0,0.05
"250","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"251","RT Me Jon is my king and he should rule the seven kingdomsJon ignores GhostMe Fuck this guy hope Cersei wins",0,1,0,1,1,0,1,2,-0.5
"252","via Game Of Laughs",0,0,0,0,0,0,0,0,0.8
"253","RT Scrolling through the tl and mistakenly reading spoilers of ",0,0,0,0,0,0,0,0,-0.7
"254","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"255","RT Dont worry the elephants have arrived ",0,1,0,1,0,1,0,0,-0.75
"256","RT        Did David just confirm that Drogon is not alone",0,0,0,0,0,0,0,0,-0.6
"257","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"258","via Game Of Laughs",0,0,0,0,0,0,0,0,0.8
"259","I might have to make one of these for poolside at the new house ",0,0,0,0,0,0,0,0,0.8
"260","RT We promise that youll never find another like The pop monarch is back with new music a new outlook on life and",0,0,0,0,2,1,1,1,2.65
"261","Only just got round to watching this weeks episode and I usually dislike tweeting spoilers but hones ",1,0,1,0,0,0,0,0,-1
"262","RT How hood niggas watch Game of Thrones  ",1,1,1,2,0,0,0,0,-0.25
"263","Tune in the Odds ShowRecap Update Preview amp ",0,0,0,0,0,0,0,0,0
"264","Been thinking about in wake of upcoming finale of how book franchises with really deepdiving har ",0,0,0,0,0,0,0,0,0.4
"265","RT Joey Bosa thinks he found his cameo on thanks to his big nose via ",0,0,1,0,1,0,0,1,1.45
"266","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"267","RT daenerys gave lives to her dragons raise them trying to tame them when they were wild rode them multiple times had to",0,0,0,0,0,0,1,0,-0.25
"268","Theyre treating like shes Daenerys breaker of chains ",0,0,0,0,0,0,0,0,0.5
"269","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"270","RT Look What You Made Me Do is literally Arya Starks kill list King of My Heart was influenced by Khal Drogo and Daenerys ",0,0,0,1,0,1,0,0,-0.65
"271","RT One of my favorite things about is how the villains change over the years ",0,0,0,1,1,0,0,1,-0.25
"272","RT OMGthought he was joking ",0,0,0,0,0,0,0,0,0.6
"273","Rextorn Metalwork made the hand of Jeremy Lanister for in Congrats",0,0,0,0,0,0,0,0,1
"274","RT Only two episodes leftThe final season of airs Sundays on ",0,0,1,0,0,0,0,0,0
"275","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"276","Only  episodes of left Order one of my Keepsake Boxes to have as your own Color opt ",0,0,0,0,0,0,0,0,0.6
"277","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"278","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"279","The anticipation it too crazy right now ",1,1,0,1,0,1,0,0,0.3
"280","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"281","RT So I hear Ghost will actually be appearing in future episodes of but due to budget constraints HBO had to cut",0,0,0,1,0,0,0,1,-0.6
"282","RT Kit Harington and Emilia Clarke explain why and cant pick up the pieces of their relationship ",0,0,0,0,0,0,0,1,0
"283","Prevent DeathLock your carTake your keysHide your belongingsFly to safety on your dragonIm coming for all of ",0,1,0,1,0,0,0,0,0.55
"284","RT When I come back to Nigeria Rochas will erect a statue for Arya Stark as his parting gift to Imo people",0,1,0,0,1,1,1,1,0
